product_url	concept_label	lead_domain	sum_countActive	distinct_sellers	max_days	top_started	price	countries	n_ad_records
https://wanderprints.com/products/grandma-and-grandkids-on-the-moon-personalized-window-hanging-suncatcher-ornament-kk924dil930	grandma and grandkids on the moon personalized window	great-family-shop.myshopify.com	1	1	601	2024-12-11	26.95	AU,US	1
https://wanderprints.com/products/dog-mom-cat-mom-dog-dad-cat-dad-personalized-window-hanging-suncatcher-ornament-ak1453nah4320	dog mom cat mom dog dad cat dad	great-family-shop.myshopify.com	1	1	585	2024-12-27	26.95	CA,US,AU	1
https://wanderprints.com/products/custom-photo-orgasm-donor-i-licked-it-so-its-mine-funny-gift-for-husband-boyfriend-personalized-mens-boxer-briefs	custom photo orgasm donor i licked it so	great-family-shop.myshopify.com	1	1	577	2025-01-04	27.95	US,CA,AU	1
https://wanderprints.com/products/mom-nana-sitting-with-children-personalized-window-hanging-suncatcher-ornament-kk1163cin3200	mom nana sitting with children personalized window hanging	great-family-shop.myshopify.com	1	1	518	2025-03-04	26.95	CA,US,AU	1
https://wanderprints.com/products/custom-photo-memorial-your-light-will-always-shine-in-my-heart-personalized-candlelight-lantern-ornament-bd1344cla442	custom photo memorial your light will always shine	great-family-shop.myshopify.com	2	1	511	2025-03-11	21.95	CA,US,AU	1
https://wanderprints.com/products/nana-auntie-mom-family-sunflower-personalized-window-hanging-suncatcher-ornament-ak1160nah3530	nana auntie mom family sunflower personalized window hanging	great-family-shop.myshopify.com	1	1	504	2025-03-18	26.95	CA,US,AU	1
https://wanderprints.com/products/mom-children-sitting-window-3d-effect-personalized-window-hanging-suncatcher-ornament-kk1183cin3263	mom children sitting window 3d effect personalized window	great-family-shop.myshopify.com	1	1	495	2025-03-27	26.95	CA,US,AU	1
https://wanderprints.com/products/custom-photo-my-hardest-goodbye-memorial-sympathy-gift-for-dog-owners-cat-lovers-personalized-pet-loss-sign-collar-frame	custom photo my hardest goodbye memorial sympathy gift	great-family-shop.myshopify.com	2	1	494	2025-03-28	33.95	CA,AU,US	1
https://wanderprints.com/products/birth-flower-grow-an-old-friend-personalized-stained-glass-window-hanging-suncatcher-fl661nel2719	birth flower grow an old friend personalized stained	great-family-shop.myshopify.com	2	1	484	2025-04-07	25.95	CA,US,AU	1
https://wanderprints.com/products/the-love-between-mother-daughters-is-forever-personalized-flameless-led-candle-kk1117dil1420	the love between mother daughters is forever personalized	great-family-shop.myshopify.com	2	1	467	2025-04-24	27.95	CA,AU,US	1
https://wanderprints.com/products/mother-daughter-son-we-love-you-mom-3d-cartoon-personalized-window-hanging-suncatcher-ornament-ts747hal3279	mother daughter son we love you mom 3d	great-family-shop.myshopify.com	3	1	466	2025-04-25	26.95	CA,US,AU	1
https://wanderprints.com/products/the-dogfather-personalized-whiskey-glass-th024cla1021	the dogfather personalized whiskey glass	great-family-shop.myshopify.com	1	1	451	2025-05-10	29.95	AU,CA,US	1
https://wanderprints.com/products/custom-photo-human-and-pet-faces-gift-for-men-women-dog-and-cat-lovers-personalized-hawaiian-shirt	custom photo human and pet faces gift for	great-family-shop.myshopify.com	1	1	451	2025-05-10	31.95	AU,CA,US	1
https://wanderprints.com/products/custom-photo-best-dad-ever-coconut-palm-personalized-hawaiian-shirt-kk890dil798	custom photo best dad ever coconut palm personalized	great-family-shop.myshopify.com	2	1	451	2025-05-10	31.95	AU,CA,US	1
https://wanderprints.com/products/grandpa-dad-kids-handprints-personalized-classic-cap-nn452hel1081	grandpa dad kids handprints personalized classic cap	great-family-shop.myshopify.com	2	1	439	2025-05-22	29.95	US,NZ,AU	1
https://wanderprints.com/products/beach-you-me-and-the-dogs-personalized-window-hanging-suncatcher-ornament-pt1627nel3004	beach you me and the dogs personalized window	great-family-shop.myshopify.com	1	1	433	2025-05-28	26.95	AU,CA,US	1
https://wanderprints.com/products/camping-you-me-and-the-dogs-3d-effect-personalized-doormat-at1679cin3445	camping you me and the dogs 3d effect	great-family-shop.myshopify.com	1	1	433	2025-05-28	31.95	CA,US	1
https://wanderprints.com/products/dog-lovers-i-woof-you-personalized-whiskey-glass-gt737cin3397	dog lovers i woof you personalized whiskey glass	great-family-shop.myshopify.com	1	1	433	2025-05-28	29.95	CA,AU,US	1
https://wanderprints.com/products/i-licked-it-so-its-mine-personalized-engraved-leather-belt-at1494cin3061	i licked it so its mine personalized engraved	wdp-us.myshopify.com	2	1	405	2025-06-25		AU,US,CA	1
https://wanderprints.com/products/making-memories-one-campsite-at-a-time-personalized-decor-decal-ak1659nah4804	making memories one campsite at a time personalized	wdp-us.myshopify.com	2	1	397	2025-07-03		CA,AU,US	2
https://wanderprints.com/collections/personalized-mugs/products/couple-i-love-you-every-day-personalized-white-edge-to-edge-mug-at2001cla2227	couple i love you every day personalized white	wdp-us.myshopify.com	1	1	155	2026-03-02		US,CA	1
https://wanderprints.com/products/brothers-a-bond-that-cant-be-broken-personalized-stemless-wine-glass-tu271dsr678	brothers a bond that cant be broken personalized	wdp-us.myshopify.com	1	1	147	2026-03-10		US	1
https://wanderprints.com/products/this-grandpa-dad-belongs-to-kids-pet-personalized-classic-cap-nv1479cla2290	this grandpa dad belongs to kids pet personalized	wdp-us.myshopify.com	1	1	147	2026-03-10		US	1
https://wanderprints.com/products/i-am-kind-i-am-smart-personalized-teddy-bear-ti297cla2549	i am kind i am smart personalized teddy	wdp-us.myshopify.com	4	1	144	2026-03-13		US,AU,CA	1
https://wanderprints.com/products/custom-photo-senior-graduation-personalized-stoles-ts754cla855	custom photo senior graduation personalized stoles	wdp-us.myshopify.com	1	1	143	2026-03-14		US	1
https://wanderprints.com/products/graduation-motivation-god-has-great-plans-for-you-personalized-ring-dish-tg298cla2478	graduation motivation god has great plans for you	wdp-us.myshopify.com	1	1	143	2026-03-14		US	1
https://wanderprints.com/products/my-favorite-peeps-call-me-grandma-personalized-womens-sleep-tee-ak1994nah5663	my favorite peeps call me grandma personalized womens	wdp-us.myshopify.com	3	1	140	2026-03-17		AU,CA,US	3
https://wanderprints.com/products/so-many-books-so-little-time-personalized-pocket-pillow-gt923cin4275	so many books so little time personalized pocket	wdp-us.myshopify.com	1	1	140	2026-03-17		CA,AU,US	1
https://wanderprints.com/products/custom-photo-she-came-she-saw-she-mastered-personalized-ring-dish-ym150ima027	custom photo she came she saw she mastered	wdp-us.myshopify.com	1	1	140	2026-03-17		AU,US	1
https://wanderprints.com/products/custom-photo-pencil-sketch-art-a-true-friendship-is-a-journey-without-an-end-personalized-crystal-globe-lamp-ts1043cla2510	custom photo pencil sketch art a true friendship	wdp-us.myshopify.com	2	1	140	2026-03-17		US	2
https://wanderprints.com/products/this-grandma-belongs-to-kids-pet-biscuits-personalized-womens-sleep-tee-kk1483nah5608	this grandma belongs to kids pet biscuits personalized	wdp-us.myshopify.com	1	1	140	2026-03-17		AU,CA,US	1
